,vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,AAPL,MSFT,AMZN,TSLA,AAPL_RSI,AAPL_EMA,AAPL_SMA,AAPL_MACD,MSFT_RSI,MSFT_EMA,MSFT_SMA,MSFT_MACD,AMZN_RSI,AMZN_EMA,AMZN_SMA,AMZN_MACD,TSLA_RSI,TSLA_EMA,TSLA_SMA,TSLA_MACD
2016-05-23,0.09082256968048948,0.2513038412237983,0.22683075053175328,0.2605545102767623,0.06090839557275264,0.27735861789281924,0.7224731786017108,0.06216696269982238,0.0,0.03860750681807984,0.21119632201516342,0.25237854761972284,0.07826734303403995,0.06715986902674102,0.1588194008556999,0.032391002940191906,0.39897225199656583,0.0781281526602402,0.07571013370383434,0.435124212156017,0.27669999370821785,0.07066627296651265,0.06898843547323505,0.4186122564891113,0.598519203634883,0.16109932561953935,0.15915763884961237,0.6590593562865478,0.3517620183546387,0.03696504574886045,0.03629027596429106,0.392098709776825
2016-05-24,0.0717878993881713,0.258339610072078,0.29071487300480814,0.267951405121947,0.0594348960676685,0.2785174565403997,0.7229657909485232,0.06216696269982238,0.0,0.03860750681807984,0.14526665455757182,0.2513038412237983,0.08004068740716788,0.0706532259920087,0.16088446074210352,0.032666607265857656,0.46609054003204864,0.07838780622118308,0.07535152373986556,0.4420796528628327,0.4386979675429157,0.07081383386168616,0.06904727634445987,0.42384578350335417,0.6325610671927924,0.1617552477955036,0.16040126242063993,0.6571442814085672,0.374361859090635,0.036925194063580406,0.03596910398704641,0.39278252458187
2016-05-25,0.06471787899388172,0.26197550298749045,0.3166121507855649,0.2729999802166381,0.051223791955367595,0.30762982651172,0.7234984585147146,0.0586145648312611,0.0,0.03860750681807984,0.12469156511628805,0.258339610072078,0.08211559858616195,0.07184006811954392,0.16203480619230143,0.032938952555616935,0.5350024293701878,0.07882570562974556,0.07549894775057661,0.4501055976497825,0.4840933894685704,0.07106510998549284,0.06922518495284444,0.4299855221959067,0.6510569712177174,0.16246230261629666,0.1618508272355481,0.6558484429289476,0.3969104372484049,0.03691842354805175,0.0356832492726763,0.3935291639838163
2016-05-26,0.058327668252889195,0.2618650347157732,0.24643747654029707,0.2721940685316477,0.03970575002249617,0.30920335952667977,0.7240713484291558,0.055062166962699825,0.0,0.03860750681807984,0.11183985212119334,0.26197550298749045,0.08306863322585678,0.07132501617656267,0.1638531746608071,0.03384241703066648,0.5640848997725021,0.07931512937187843,0.07587822840370517,0.45765459889109267,0.4602858169528268,0.07124134718207253,0.06949620734147269,0.43416045006055415,0.6797048859817583,0.16328159037268378,0.1634589069371815,0.6555199233224241,0.466830382222299,0.037009448977972856,0.03548075774226655,0.39464145133383527
2016-05-27,0.0541128484024473,0.26411486232066433,0.2294749941909307,0.2737534833467478,0.04448618734815081,0.3189320197274751,0.724684711385153,0.056838365896980464,0.0,0.03860750681807984,0.13618439542778205,0.2618650347157732,0.08299622773389567,0.07228792184183497,0.16311307925911345,0.03350320901498345,0.5606560723035285,0.07975085838141413,0.07632058238875011,0.46362493569102,0.4983634056162187,0.07149634763602278,0.06982056043936385,0.43901050951992765,0.6556647726230214,0.1639497632080002,0.1642087555983673,0.6541629414893921,0.4395965489246736,0.037055329680888004,0.03532191969054515,0.3953877427378096
2016-05-31,0.06866077498300475,0.2635850185827618,0.3898120095804958,0.27076793110114533,0.12794699901016826,0.3318371479191934,0.7275719461934171,0.06039076376554175,0.0,0.03860750681807984,0.2477131154367042,0.26411486232066433,0.08240516002273261,0.07381068786499938,0.16603744582219493,0.0335341943513541,0.531641745514744,0.08008726916768269,0.07673886386565323,0.467724423906075,0.554511840905449,0.07187816422749266,0.07013855099103294,0.4451911422351528,0.7024865142086221,0.16484309396182803,0.16476334418713529,0.6545795577289678,0.44208835001312397,0.03710017270112405,0.03515546234449423,0.396029376475371
2016-06-01,0.06879673691366416,0.2641826635309648,0.2793011689634833,0.2708536590021757,0.05049266624673805,0.32890710636311005,0.7284156684430609,0.05328596802841918,0.0,0.3272483418280036,0.1719206537119265,0.2635850185827618,0.0807161962452244,0.073474783171605,0.16510885829810742,0.032935688853946814,0.45345356568712814,0.08022642074020186,0.07697651597059102,0.46911340347326486,0.536665450761067,0.07219028599165334,0.0705347480472264,0.44949902031994515,0.6710578082720748,0.16555964369525805,0.16544867553023607,0.6536852061757344,0.3926333162760679,0.0370763866018299,0.03504108458061502,0.3962576046569693
2016-06-02,0.06104690686607751,0.2656716571447459,0.2913158882513808,0.27255051612014264,0.04715198416269234,0.33422684934848645,0.7292290289478347,0.05150976909413854,0.0,0.3272483418280036,0.16026248073211385,0.2641826635309648,0.07982352137401269,0.0726462163410087,0.16754813204132238,0.03283784079165241,0.41516848856741784,0.08026499533749049,0.07722920823884627,0.46923184829378756,0.4925008037789461,0.07239046437170066,0.0708776596490972,0.45153650290630437,0.7101626740804781,0.16644883907914346,0.16626532008697967,0.6541303220768997,0.3846886177105736,0.03704434406996221,0.0350088150354723,0.3964171048805238
2016-06-03,0.05887151597552685,0.26413239498209945,0.2907640266680966,0.27145722507461273,0.0547106991811392,0.33899313769642914,0.7300123062558564,0.05328596802841918,0.0,0.3272483418280036,0.25352562458309547,0.2656716571447459,0.08006481920830637,0.07110112771988675,0.16679972547569955,0.032842732844834854,0.4256142661162564,0.08032350072560748,0.07751764898575841,0.46959090327952424,0.415864399905148,0.07241826120961006,0.07113247679064144,0.45067529263924216,0.6836582794192061,0.16717944091048062,0.1672117109957945,0.6533894857801961,0.3851753654224348,0.03701587925893554,0.03507568466554972,0.39657383704828914
2016-06-06,0.06131883072739634,0.2667136889211335,0.2700122437306737,0.27538856084372915,0.04300143975524162,0.34348655907698056,0.7321930594722517,0.04973357015985791,0.0,0.3272483418280036,0.17298578213513022,0.26413239498209945,0.08092130646635597,0.07186247712755806,0.16712957082888893,0.03311833950338243,0.46289117094678756,0.08046021862304045,0.07788189669154919,0.47080567457578687,0.450169785685984,0.0725189583426746,0.07137489706238548,0.45108296418325255,0.6894054972446875,0.16787303522293273,0.16796341120491234,0.6524823462949619,0.41347501859227564,0.0370197618542052,0.035127226332209625,0.39686599326123473
